Unnamed: 0,Questions,Correct,A,B,C,D
1239,"Carrie sings Mister Snow in which Rogers and Hammerstein show of the 50’s?
",Carousel,Hello Dolly,Carousel,Cabaret,Annie
387,"Ash Ketchum, the main protagonist in the Pokémon anime, is loosely based on what other character?
",Red,Blue,Green,Red,Yellow
968,"In this romantic comedy, Reese Witherspoon plays Elizabeth Masterson, a young workaholic doctor.
",Just Like Heaven,Heaven,Just Like Heaven,Heavenly Love,Loving you
2444,"Who recorded the album Sgt Peppers Lonely Hearts Club Band, which was ranked the greatest album of all time by Rolling Stone magazine?
",The Beatles,The Beatles,The Eagles,The Who,The Doors
2097,"What is the occupation of Steve Jobs biological sister, Mona Simpson, with whom he enjoyed a close relationship?
",novelist,speech language pathologist,lawyer,musician,novelist
1331,"On July 28, 1994 a perfect game was pitched in Arlington, Texas. This time the Rangers beat the Angels. Who was the wining pitcher?
",Kenny Rogers,Al Leiter,Kenny Rogers,Pedro Martinez,Nolan Ryan
1717,"After gaining its independence from Mexico, the Republic of Texas existed for what period of time?
",From 1836 to 1845,From 1836 to 1845,From 1760 to 1772,From 1813 to 1840,From 1814 to 1845
120,"Peter Wolf played with this popular rock and roll band in the 70s, that moved toward a more pop-influenced style in the 80s.
",J. Geils Band,J. Geils Band,The Knack,The Romantics,Aerosmith
741,"What year did the popular 70s show Alice finally leave the airwaves?
",1985,1986,1989,1981,1985
4247,"This 1972 album was John Lennons third post-Beatles album and the fifth one recorded with Yoko Ono.
",Some Time In New York City,Some Time In New York City,John Lennon/ Plastic Ono Band,Mind Games,Imagine
2403,"Wat is wrriten in the note mentioned below?
",,c is trying to scare a suspect in a third floor apartment,c puts a notepad and a pen in the suspects hands,"ps off the page and puts it into the lapel pocket of the suspects shirt, then leads him towards an open window",c Mackey: Looks like youre going to die a bad speller.
1114,"What phrase did singer and actress Hilary Duff get tattooed on her right foot?
",Let it be,No doubt,Dont make me get up,Let it be,I am an angel
720,"The 1977 Yankees beat the Dodgers in four games, all of which were decided by two runs or less.
",False,True,False,,
988,"The Celtic and The Rangers are rival clubs from which city?
",Glasgow,Boston,New York,Arlington (Texas),Glasgow
290,"The album Paint it Black by the Rolling Stones was released in this year.
",1966,1962,1978,1966,1974
1252,"When was Terry Pratchett appointed an Officer of the Order of the British Empire for services to literature?
",1998,1998,Never.,1963,2001
1463,"How many eggs are in 1 gross?
",144,144,96,12,48
79,"Gary Wallace
",Weird Science,Nate and Hayes,Some Kind of Wonderful,Weird Science,Shes Having a Baby
869,"Ms. Sara Lee Creech was seeking support for the creation of the Sara Lee doll and was invited to a reception where she met Zora Neale Hurston, the author of Their Eyes Were Watching God. Who was this reception being held for?
",Eleanor Roosevelt,"The sculptress, Sheila Burlingame",Sara Lee Creech,Eleanor Roosevelt,The Inter-racial Council of New York
406,"Who hosted The Newlywed Game from 1966 - 1974?
",Bob Eubanks,Pat Sajak,Bob Eubanks,Bill Cullen,Garry Moore
646,"Sean Connery portrayed Colonel Arbuthnott in this 1974 mystery movie, based on a novel by Agatha Christie.
",Murder on the Orient Express,Death on the Nile,Evil Under the Sun,Murder on the Orient Express,Ten Little Indians
1540,"Although he is known as the voice of Mufasa the father lion in The Lion King and Darth Vader in the Star Wars film trilogy, this actor suffers from a speech impediment - he stutters.
",James Earl Jones,James Earl Jones,Robert Deniro,Clint Eastwood,Leonardo Dicaprio
1692,"The famous story of the hatchet and the chopped cherry tree, when young George Washington claimed I cannot tell a lie, is mostly based on historical fact.
",False,True,False,,
2369,"This football player, who spent his entire career with Serie A club A.C. Milan, has been acknowledged as one of the greatest defenders ever to play the game.
",Franco Baresi,Franco Baresi,Andrey Shevshenko,Hernan Crespo,Kaka
953,"This romantic comedy film, directed by Garry Marshall, follows the lives of several couples and singles from New York City and shows how their lives intertwine.
",New Years Eve,Friends with Benefits,New Years Eve,"Crazy, Stupid, Love",The Ides of March
1331,"What does the name Zachary mean?
",God has remembered,Gods servant,Gift from God,God has remembered,Warlike
1843,"This politically oriented hip-hop group never shied from controversy, and their lyrics often reflected concerns of the African American community. Their albums include Yo! Bum Rush the Show (1987), It Takes a Nation of Millions to Hold Us Back (1988), and Fear of a Black Planet (1990).
",Public Enemy,Jungle Brothers,Public Enemy,N.W.A.,Boogie Down Productions
637,"Which battle saw the defence of the Sunken Road or Bloody Lane as it was called after the battle?
",Antietam,Second Bull Run,Fredericksburg,Savages Station,Antietam
782,"The husband of Catherine the Great was Peter I.
",False,True,False,,
3744,"On the sitcom The Office, Pam belongs to a very exclusive club. What is its name?
",The Finer Things Club,The Daughters of the American Revolution,The Scranton Lute Club,The Finer Things Club,The Woman in Publishing Club
920,"Where was a depiction of a domino tile included in 2008?
",In Unicode,In the flag of Nicaragua,In Unicode,In the Chinese alphabet,In Microsofts logo
145,"Which film starring Frank Sinatra was based on the life of the comedian Joe E. Lewis?
",The Joker is Wild,The Tender Trap,Pal Joey,The Joker is Wild,Meet Danny Wilson
4988,"What breed of dog was the original Lassie in the TV series of the same name?
",Collie,Collie,Poodle,Beagle,none of these
3274,"Which song-writing team gave us Tell Laura I Love Her, Then He Kissed Me, Be My Baby, and Baby I Love You?
",Barry and Greenwich,Mercer and Feyne,Barry and Greenwich,Bachcarach and Dickinson,Bacharach and David
2174,"Heartlight was a hit song for this singer in 1982.
",Neil Diamond,Barry Manilow,Vito Rags Nine Ragolia,Neil Diamond,Engelbert Humperdinck
3123,"What was Escobars last line of dialogue in the movie Chinatown?
",Just get him the hell out of here,"Forget it Jake, its Chinatown",I dont care,Just get him the hell out of here,Halt!!
4166,"What is the capital and largest city of the U.S. state of Georgia?
",Atlanta,Columbia,Charlotte,Atlanta,Raleigh
703,"The song Ringo was the only ever #1 song by this singer in the year 1964.
",Lorne Greene,Pernell Roberts,Herb Alpert,Lorne Greene,Michael Landon
1584,"If I am called white hope then I am expected to do this.
",Achieve great success,Get pregnant,Live in a trailer,Get admitted to college,Achieve great success
2671,"Which of these facts refers to gold in its metallic form?
",It is the most malleable of all metals,It is the most malleable of all metals,It is not a good conductor of electricity,All of these,I is a good insulator of heat
2209,"What type of car did Benjamin receive for his 21st birthday in the movie The Graduate?
",Alfa Romeo,Ferrari,Porsche,BMW,Alfa Romeo
1668,"With its 2,505,810 sq. km (967,499 sq. miles) this is the largest country in Africa and the tenth largest in the world. Its ancient name was Nubia. Its contemporary name comes from an Arabic expression which means land of the blacks.
",Sudan,Egypt,Congo,Sudan,South Africa
115,"What is the nickname of the Grand Lakes University swim team in the movie Back to School?
",Hooters,Orioles,Hooters,Sparrows,Jayhawks
2347,"The 1991 Ryder Cup matches, known as the War by the Shore, won by the US (or, more correctly lost by the Europeans) were played where in South Carolina?
",Kiawah Islands Ocean Course,"The Dunes Golf and Beach Club, Dunes Course, in Myrtle Beach",Kiawah Islands Ocean Course,Harbour Town Golf Links at Hilton Head,Aikens Palmetto Club
464,"What is the term for a person responsible for devising a new machine or a new process of doing something?
",inventor,administrator,author,mentor,inventor
1027,"This plant lives on the salty banks of lagoons and estuaries. It can exist in areas far from fresh water and has a prop roots that extend down from its branches and form a dense tangle.
",Mangrove tree,European Hornbeam,Silver Birch,Mangrove tree,Carapa
189,"Who played the role of Beaver Cleaver in 1950s sitcom, Leave it to Beaver?
",Jerry Mathers,Bob Denver,Tony Dow,Jerry Mathers,Wile E. Coyote
385,"Christian Nativity scenes are very popular during the Christmas holidays. However, a life-sized Nativity scene is on permanent display in Piazza San Pietro, in this city.
",Vatican City,"Paris, France","Venice, Italy","Toledo, Spain",Vatican City
328,"Amos is the first book of the Old Testament alphabetically.
",True,True,False,,
1197,"Alaska is also called Golden West.
",False,True,False,,
143,"This longtime couple, whose third child was born in December 2012, tied the knot on June 9, 2012 in Austin, Texas.
",Matthew McConaughey and Camila Alves,Chris Noth and Tara Wilson,Matthew McConaughey and Camila Alves,Blake Lively and Ryan Reynolds,Drew Barrymore and Will Kopelman
2945,"What famous French author and WWII aviator made the following statement about love: Life has taught us that love does not consist in gazing at each other but in looking outward together in the same direction.?
",Antoine de Saint-Exupéry,Anatole France,Antoine de Saint-Exupéry,Honoré de Balzac,Alexandre Dumas
959,"Which guitarist ran for the Presidency of the United States in 1980?
",Joe Walsh,Duane Allman,Buddy Guy,Joe Walsh,Joe Perry
883,"In the late 1960s, this popular entertainer wrote the hit songs A Little Less Conversation and In the Ghetto, made popular by Elvis Presley.
",Mac Davis,Mac Davis,Glen Campbell,Lou Rawls,Kenny Rogers
2821,"In December 1999, Time magazine announced its Person of the Century. Who was it?
",Albert Einstein,Albert Einstein,Charles Babbage,Mahatma Gandhi,Franklin Delano Roosevelt
2190,"Vegetarians can get all the proteins they need through non-meat food sources.
",True,True,False,,
4545,"The first track of Linkin Parks album Reanimation is entitled Opening. Which two members of Linkin Park perform on this track?
",Dave Phoenix Farrell and Mike Shinoda,Rob Bourdon and Chester Bennington,Dave Phoenix Farrell and Mike Shinoda,Chester Bennington and Mike Shinoda,Joe Hahn and Brad Delson
1579,"Young Mr. Lincoln was a hit John Ford-directed movie about the fictional early life of Abraham Lincoln. Who starred as Lincoln?
",Henry Fonda,James Stewart,Humphrey Bogart,Henry Fonda,Jame Cagney
3485,"Which dictator appeared towards the end of the film Blazing Saddles?
",Adolph Hitler,Adolph Hitler,Benito Mussolini,Francesco Franco,Nicolae Ceausescu
1467,"What geological eon, era, period, and epoch are we living in today?
","Phanerozoic, Cenozoic, Neogene, Holocene","Phanerozoic, Cenozoic,  Paleogene, Holocene","Phanerozoic, Paleozoic, Paleogene, Holocene","Phanerozoic, Cenozoic, Neogene, Holocene","Precambrian, Cenozoic, Neogene, Holocene"
702,"Archaeologists report that marijuana was possibly the first plant cultivated by humans. The first evidences of this date back to approximately what time?
",8000 BC,4000 BC,1000 BC,8000 BC,"12,000 BC"
3866,"What was the full name of the character played by Al Pacino in the movie Scarface?
",Antoino Tony Montana,Tony Montana,Anthony Tony Montana,Ant Tony Montana,Antoino Tony Montana
4106,"Theres only two types of people in the world; the ones that entertain and the ones that observe. Well baby Im a  put on a show kinda girl. Dont like the backseat gotta be first. Im like the ring-leader; I call the shots. Im like a firecracker; I make it hot. What song are these lyrics from?
",Circus,All Eyes On Me,None of these,Circus,Show Me What You Can Do
4506,"What type of governmental control has Iraq established?
",Parliamentary republic,Parliamentary republic,Presidential republic,Absolute monarchy,Constitutional monarchy
1713,"Anita is the best friend of the female lead in which musical that was later transformed into an award-winning movie musical?
",West Side Story,Dear World,West Side Story,Cabaret,Mame
1608,"In the movie High School Musical, Taylor is portrayed by Raven Symone.
",False,True,False,,
704,"Chinchillas have a wide range of hearing - 5 Hz to 60 kHz
",False,True,False,,
2350,"Ms. Farrah Fawcett was born in Corpus Christi, Texas.
",True,False,True,,
2538,"He was the first European to be selected Man of the Year by Time magazine. He was also the first winner to be executed in his country for treason.
",Pierre Laval,Hans von  Drucker,Konrad Adenauer,Pierre Laval,Laurence  des Lemaussanne
1598,"Where was Nicole Kidman born?
",Honolulu,Perth,Wellington,Honolulu,Sydney
840,"Marx and Engles were the first to openly criticise the idea of personal property.
",False,True,False,,
1825,"Sawyer is initially seen reading what book?
",Watership Down,Watership Down,Faster Friends,A Wrinkle in Time,Dark Tower
61,"In which Stephen King story do we meet the evil Randall Flagg?
",The Stand,Salems Lot,It,Rose Madder,The Stand
1057,"Which term does not belong with the others?
",Poaching,Pot Roasting,Poaching,Braising,Stewing
3758,"What is the largest city in Canada?
",Toronto,Victoria,Toronto,Ottawa,Quebec City
2753,"Who played keyboards on the Beach Boys hits?
",Darryl Dragon,Pete  McIntosch,Mike Love,Darryl Dragon,Stan Gibb
1693,"What was George Washingtons natural non-powdered hair color in his early days?
",Red,Red,White/Grayish,Black,Blonde
4078,"Christina Aguilera has mentioned in interviews that she would like to play movie roles similar to those of this actress.
",Angelina Jolie,Salma Hayek,Whoopi Goldberg,Jennifer Lopez,Angelina Jolie
4059,"In the key of C major, the seventh (also known as the leading tone) is what?
",B natural,A sharp,G natural,F sharp,B natural
946,"An ancient Chinese book called The Inner Canon of Huangdi recommends breathing exercises, massage of the skin and flesh, and exercises of hands and feet as a remedy for complete paralysis, chills, and fever. Who was the author of this ancient book?
",The Yellow Emperor,Yu the Great,Emperor Yao,The Red Emperor,The Yellow Emperor
4883,"What is the name of the movie released by the Spice Girls in 1997?
",Spice World,Rainbow,Spice World,Spice Magic,Spice Up Your Life
1398,"Gilbert Arenas wore the number 0 on his jersey because nobody could beat him in a one-on-one basketball game.
",False,True,False,,
2586,"Monday Night Football debuted in 1975.
",False,True,False,,
591,"Which one of these 1990s boy bands was the only band to have a #1 hit on the Billboard Hot 100 in the 90s?
",New Kids on the Block,98 Degrees,New Kids on the Block,N*SYNC,Backstreet Boys
421,"What does SYS mean when used in instant messaging ?
",see you soon,still your spouse,see your sister,system is down,see you soon
3010,"What was the name of the cow pictured on the cover of Pink Floyds 1970 album Atom Heart Mother?
",Lulubelle III,Elsie,Madonna,Mademoisselle Nobs,Lulubelle III
2509,"After the death of Kurt Cobain, Nirvanas drummer, Dave Grohl, went on to form what late 90s rock group?
",Foo Fighters,Foo Fighters,Helmet,Sebadoh,Queens of the Stone Age
3367,"What is the birth name of the star actress in the movie Sweet Home Alabama?
",Laura Jeanne Reese Witherspoon,Haley Reese Witherspoon,Mary Andrews,Emma Ann Witherspoon,Laura Jeanne Reese Witherspoon
958,"What is the real name of professional wrestler Jeff Hardy?
",Jeff Hardy,Eddie Fatu,Sean Morley,Jeff Hardy,Jayson Paul
5055,"Who was  Plutos first owner?
",Minnie Mouse,Donald Duck,Mortimer Mouse,Minnie Mouse,Mickey Mouse
2560,"This band had a big hit song in 1970 called I Want to Take You Higher.
",Sly  the Family Stone,Sly  the Family Stone,The Spinners,The Stylistics,The Four Tops
1470,"The first draft of Alien 3 is the one that was filmed.
",False,True,False,,
1692,"What is referred to as the fourth dimension?
",time,weight,length,time,height
1113,"Who wrote the Unfinished Symphony?
",Schubert,Schubert,Schiller,Schwartz,Schumann
772,"What period marked the popularity of the cloche hat?
",1920s,1970s,18th century,15t century,1920s
561,"What common name does the dog breed New Guinea Highland Dog have?
",Singer,Singer,Prowler,Wrestler,Swimmer
3192,"What famous TV character spoke the words, There is a time of year in New York when, even before the first leaf falls, you can feel the seasons click. The air is crisp, the summer is gone. And for the first night in a long time, you need a blanket on your bed.?
",Carrie Bradshaw (Sex and the City),Rachel Green (Friends),Susan Mayer (Desperate Housewives),Carrie Bradshaw (Sex and the City),Marissa Cooper (The O.C.)
488,"Belgrade was the capital of former Yugoslavia. Which country has the city as its capital today?
",Serbia,Croatia,Bulgaria,Serbia,Montenegro
1148,"In 1960, a  #1 hit on the pop charts was the comedy song Please Mr. Custer, I Dont Wanna Go!. Whose song was it?
",Larry Vernes,Bill Hayes,Tommy Hartigans,B.B. Thompsons,Larry Vernes
225,"Leonard Nimoy and fellow Star Trek actor William Shatner suffer from the same ailment. What is it?
",Tinnitus,Tinnitus,Peripheral neuropathy,Shingles,Diabetes
935,"What is the full name of the famous British writer J. R. R. Tolkien, author of the trilogy The Lord of the Rings?
",John Ronald Reuel Tolkien,John Robert Ronald Tolkien,John Ronald Reuel Tolkien,Joseph Ronald Robert Tolkien,John Ronald Rufus Tolkien
2072,"Derek Anderson has worn number is 3 for the Cleveland Browns.
",True,True,False,,
4062,"Who won the Razzie Award for Worst Actor for 1981?
",Klinton Spilsbury for The Legend of the Lone Ranger,Kris Kristofferson for Heavens Gate,Kris Kristofferson for Rollover,"Richard Harris for Tarzan, the Ape Man",Klinton Spilsbury for The Legend of the Lone Ranger
4539,"Rock band Radiohead recorded the song Life in a Glasshouse in collaboration with this British jazz musician.
",Humphrey Lyttelton,Kevin Davy,Chris Batchelor,Humphrey Lyttelton,Mick Mulligan
1456,"The horns of these animals consist of keratin, densely compacted hair.
",Rhinos,Giraffes,Rhinos,Deer,Cows
1427,"Which battle of the Korean War in started on September 15, 1950 when United States marines launched a massive attack on a South Korean port?
",Battle of Inchon,Battle of Hungnam,Battle of Seoul,Battle of Inchon,Battle of Pusan
870,"In what US state was music legend Ray Charles born on September 23, 1930?
",Georgia,Colorado,Maryland,Georgia,Florida
1703,"In the film The Last Detail Jack Nicholsons character works in the oil fields, but is really an accomplished pianist.
",False,True,False,,
1050,"Which noun means a group of swine?
",None of these,Leash,None of these,Brace,Brood
2118,"What is the meaning of the German word die Art?
","the kind, manner, or type",the accent,"the kind, manner, or type",the subterfuge,the slipper
246,"When Im feeling blue, all I have to do 
"," take a look at you, then Im not so blue",A Groovy Kind of Love,Better Man,Blame it on Your Heart,A Thousand Miles
3075,"Who was the first member of In Living Colors staff to be nominated for an Academy Award?
",Rosie Perez,Jamie Foxx,Jennifer Lopez,Rosie Perez,Jim Carrey
4511,"What type of meat is used for the preparation of the meal called Shawarma, which is very popular in the Middle East, including Iraq?
",All of these,All of these,Chicken,Beef,Lamb
1766,"He directed, produced and co-wrote the drama movie Eyes Wide Shut.
",Stanley Kubrick,Brian De Palma,None of these,James Cameron,Stanley Kubrick
2701,"Malcolm Xs father, Earl Little, was a Baptist minister.
",True,False,True,,
1046,"Salix vitellina is the scientific name of this essence usually given to a horse that appears to sulk, goes into moods and refuses any sort of attention.
",Willow,Wild Rose,Wild Oat,Willow,Water Violet
256,"Which wrestler, winner of the PWI awards for most popular wrestler of the year, and most hated wrestler of the year, was also the first runner-up for the most inspirational wrestler of the year award in 1983?
",Roddy Piper,The Undertaker,Ric Flair,Roddy Piper,Randy Savage
1039,"The first school in the United States, called King Williams, opened its doors in this state.
",Maryland,Maryland,California,Virginia,Texas
2727,"In the movie Miracle, at the opening game of the Olympics,  the U.S. team plays the third ranked team in the world and scores a last-minute goal to snatch a tie. Which was the nation the U.S. team played against?
",Sweden,West Germany,Czechoslovakia,Romania,Sweden
2787,"Japanese animation is referred to as what?
",Anime,Animus,Anime,Anima,Aenima
2562,"In the movie The Graduate, when Benjamin lures Elaine away from her wedding at the First Presbyterian Church, he uses this item to bar the door to the church and ward off attacking families and friends.
",Cross,Board,Cross,Broom,Crow bar
152,"What year did the popular NBC show Cheers go off the air?
",1993,1993,1997,1992,1994
319,"According to the Bible, Eve was the first person on Earth.
",False,False,True,,
959,"Who played the role of Tom Bradford, the father of eight children in the TV series Eight is Enough?
",Dick Van Patten,Michael Thoma,Dick Van Patten,Michael Goodrow,Grant Goodeve
1299,"Name the first Russian Tsar of the Romanov dynasty.
",Michael of Russia,Nicholas I,Constantine I,Alexander I the Blessed,Michael of Russia
3419,"In the mini series Lonesome Dove, before he dies, Gus makes a bizarre request of Call. What is it?
",To take his body back to Texas for burial,Not to tell any of the men he died,To give his half of the herd to Lorena,To bury him in Montana,To take his body back to Texas for burial
4975,"What is the name of the club where Catalina worked as a stripper in the television comedy My Name Is Earl?
",Club Chubbys,Club Barachanuza,Club Tassels,Club Lacy,Club Chubbys
3461,"In the 1965 movie, Thunderball, James Bond is sent to what city, to make contact with Domino?
",Nassau,Nassau,Trinidad,Honolulu,Macau
4160,"Unlike many other jazz greats, this Louisiana-born trombonist spent many years in the house bands in the Las Vegas casinos. He recorded on more than 70 albums until his own album appeared in 1985.
",Carl Fontana,Frank Rossolino,Jack Teagarden,Bill Watrous,Carl Fontana
1836,"On November 18 in 1978, Jim Jones and his followers committed mass suicide in Jonestown. Where was Jonestown?
",Guyana,Arkansas,Guyana,Aruba,Nepal
458,"What are the bosses in the first Metroid game?
","Ridley, Kraid, Mother Brain","Alpha Metroid, Gamma Metroid, Zeta Metroid, Omega Metroid, Queen Metroid","Ridley, Mother Brain, Queen Metroid","Ridley, Kraid, Mother Brain","Ridley, Kraid, Queen Metroid"
562,"What is the largest carnivorous mammal endemic to the island of Madagascar?
",Fossa,Short-tailed Mongoose,Fanaloka,Meerkat,Fossa
1999,"Senator Ted Kennedys Irish inherent eloquence made him a powerful orator, none more so than when he delivered these words need not be idealized, or enlarged in death beyond what he was in life; to be remembered simply as a good and decent man, who saw wrong and tried to right it, saw suffering and tried to heal it, saw war and tried to stop it. Who was eulogized in Senator Kennedys speech?
",Robert F. Kennedy,"Martin Luther King, Jr.",Robert F. Kennedy,"John F Kennedy, Jr.",John F. Kennedy
3751,"Which video did Linkin Park turntablist Joseph Hahn co-direct with famous music video director Nathan Cox?
",Static Xs Cold,Static Xs Cold,Foo Fighters Everlong,Korns Here to stay,Limp Bizkits Rollin
18,"According to the New Testament, who obtained permission to take Jesus Christs body down from the cross and place it in the tomb?
",Joseph of Arimathea,Joseph of Arimathea,Joseph of Antioch,Mary Magdalene,Apostle Peter
922,"Which 1986 movie is this audio clip from?
",Platoon,Platoon,Black Hawk Down,The Deer Hunter,Apocalypse Now
2788,"What Christmas song popularized the legend according to which Santa Claus categorizes children as naughty or nice?
",Santa Claus Is Coming to Town,Twas The Night Before Christmas,Santa Claus Is Coming to Town,Jingle Bell Rock,I Saw Mommy Kissing Santa Claus
373,"This Israeli city, which features many beautiful beaches and beautiful seashore views, is also the site of the first IKEA in Israel.
",Netanya,Jaffa,Netanya,Hadera,Kiryat Shemona
134,"Which word means a practitioner of the martial art of Okinawan origin, karate?
",Karateka,Konyico,Karateka,Sojin,Samurai
4792,"The cast of M*A*S*H actually had no idea that Colonel Blake was going to be killed off until the filming of the episode in which this happened.
",True,True,False,,
1053,"Kevin Garnett has never won the MVP Award.
",False,True,False,,
1415,"Which quarterback did not play at the University of Georgia?
",Todd Blackledge,Todd Blackledge,Mike Bobo,Buck Belue,Fran Tarkington
4183,"How many gallons are there in a barrel of oil?
",42 US gallons,50 US gallons.,42 US gallons,35 US gallons,40 US gallons
1553,"Is Saint Nicolas the patron saint of sailors and merchants in Eastern Orthodox countries?
",Yes,No,Yes,,
1552,"Name the actor who portrayed Dave Starsky in the original Starsky and Hutch TV series?
",Paul Michael Glaser,Paul Michael Glaser,Billy Bob Thornton,Robert Curtis Brown,Mark Linn Baker
2528,"What disorder does Sam Dawson have in the film I Am Sam?
",Autistic Disorder,Attention Deficit Disorder,Autistic Disorder,Bipolar Disorder,Schizophrenia
4356,"In what Spanish city is the Alhambra Palace located?
",Granada,Madrid,Malaga,Barcelona,Granada
749,"Aztecs are known for wearing hummingbird talismans which symbolize which of the following?
",All of these,Skill at arms,Energy,Sexual potency,All of these
787,"Once reunited in the book The Dark Tower, the ka-tet travel to a town called Fedic to stop the activity of a group of individuals who use their psychic powers to break apart the beams that hold the Dark Tower and Mid-World together. What is the name given to this group of psychics?
",Breakers,Breakers,The Great Old Ones,Sanitisers,Crimson Acolytes
1285,"What was Green Days debut album?
","1,039 Smoothed Out Slappy Hours",Kerplunk,Shenanigans,"1,039 Smoothed Out Slappy Hours",American Idiot
761,"What is the capital and largest commercial city of Libya?
",Tripoli,Ethiopia,Windhoek,Nouakchott,Tripoli
3514,"A Thanksgiving Day celebration was held in December 1777 by the thirteen colonies to commemorate the defeat of the British at this location.
",Saratoga,Camden,Saratoga,Yorktown,Bennington
